date,closeprice,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81
20020308,20.96,20.57,20.21,20.01,19.94,19.94,19.95,19.95,19.95,70.38,55.37,6.92,-4.61,13.88,6.92,0.16,-0.02,0.18,0.84,1.82,2.16,5.72,4.23,-3.59,-3.56,-2,-1.31,-1.23,0.69,1,19.83,2.23,73.02,61.17,46.09,6.45,-0.83,33.04,7.28,33.33,16.67,108.24,77.74,53.54,35.06,-2.32,0.77,0.82,0.81,1.13,24.24,109.62,1.85,-1.46,9.66,-2.62,0.23,-2.16,-0.57,0.17,73.02,0.14,1.42,26.75,39528,20.52,19.83,20.11,20.32,-49485,-39528,80.64,1885.88,-0.02,-0.02,73.82,0.08,0,2040.3,-46960.83,0.45,70
20020311,21.81,20.98,20.5,20.18,20,19.98,19.97,19.96,19.96,79.82,63.49,6.18,-1.02,5.43,6.18,0.28,0.04,0.24,0.85,1.88,4.27,8.74,8.19,-2.66,-4.47,-0.46,-0.38,-0.77,0.86,2.31,20.06,3.62,97.83,83.78,63.13,7.26,-0.77,31.62,8.03,41.67,20.83,127.3,112.84,86.6,83.33,-1.65,0.69,0.86,0.82,2.07,24.2,110.1,6.39,-0.25,21.77,1.17,0.22,-1.31,-0.21,0.71,97.83,0.15,0.82,30.11,46556,20.92,20.06,20.16,20.37,-2929,37109.86,80.23,2134.62,0.03,-0.02,82.27,0.02,-0.04,3928.3,-15923.5,1.61,73.38
20020312,21.81,21.26,20.74,20.34,20.06,20.01,19.98,19.98,19.97,79.82,63.49,15.34,4.44,24.5,15.34,0.37,0.11,0.27,0.85,1.93,2.24,7.22,7.82,-2.22,-4.98,-0.38,-0.77,-0.77,0.99,2.84,20.34,4.29,83.78,83.78,63.13,8.09,-0.71,31.16,8.8,33.33,20.83,130.42,128.77,103.77,19.5,-2.26,1,0.93,0.83,2.11,24.22,110.54,9.27,1.21,33.45,5.5,0.23,-1.31,0.22,1.43,82.72,0.17,0.65,40.95,46049,21.33,20.34,20.23,20.42,-2929,-10130.78,99.41,2111.37,0.08,-0.01,84.65,0.08,0,3928.3,-44013.39,2.57,52.42
20020313,21.73,21.41,20.92,20.47,20.12,20.03,20,19.99,19.98,76.52,62.22,25.72,11.53,36.1,25.72,0.44,0.17,0.26,0.85,1.98,1.21,5.28,7.12,-1.79,-4.07,-0.85,-0.85,-0.77,0.83,2.99,20.64,4.83,81.65,81.65,61.52,8.95,-0.63,30.78,9.57,33.33,20.83,112.38,125.71,99.97,33.33,-2.59,0.69,0.89,0.84,2.1,24.2,103.28,11.44,2.79,43.13,9.9,0.23,-1.92,0.71,1.94,80,0.18,1.05,40.95,35847,21.47,20.64,20.29,20.45,-38776,-27534.65,96.02,1649.65,0.01,-0.01,85.89,0.02,-0.04,3796.81,-55962.39,2.39,10
20020314,21.12,21.32,20.95,20.53,20.15,20.05,20.01,20,19.99,55.49,53.36,27.53,16.86,29.34,27.53,0.43,0.23,0.21,0.86,1.99,-1.7,1.46,3.91,-0.65,-3.16,-1.46,-1.38,0.69,0.67,1.77,20.82,2.77,65.43,65.43,49.3,9.76,-0.58,28.64,10.33,33.33,20.83,45.99,47.55,22.81,50,-2.59,0.76,0.93,0.84,1.45,24.17,100.38,11.33,4.1,48.15,13.6,0.22,-2.53,0.98,2.18,55.48,0.18,0.29,4.33,21202,21.49,20.82,20.32,20.46,-59978,4463.58,79.62,1003.88,-0.34,-0.02,76.95,0.08,-0.03,3201.64,-55962.39,0.7,-37.18
20020315,21.12,21.25,20.98,20.59,20.18,20.07,20.01,20,20,55.49,53.36,27.19,20.3,26.84,27.19,0.42,0.26,0.16,0.86,1.99,-1.85,0.49,3.64,0.47,-2.34,-1.38,0.69,0.69,0.5,2,21.02,2.92,65.43,65.43,49.3,10.65,-0.45,27.09,11.11,33.33,20.83,53.84,69.43,41.34,22.46,-3.15,0.69,0.84,0.85,1.39,24.13,100.76,12.7,5.42,49.88,16.64,0.23,-2.53,1.28,2.38,54.23,0.18,0.39,12.26,30933,21.52,21.02,20.38,20.47,-59978,-23760.13,72.98,1464.63,0.08,0.01,72.91,0.02,-0.04,3201.64,-72997.95,1.56,-13.79
20020318,21.35,21.28,21.05,20.66,20.22,20.09,20.03,20.01,20,61.27,56.16,11.46,17.36,-4.26,11.46,0.43,0.3,0.13,0.86,2.01,-0.35,0.85,4.47,1.37,-1.2,0.92,0.92,0.38,0.26,1.54,21.17,1.92,71.54,71.54,53.91,11.55,-0.3,25.66,11.84,33.33,25,50.57,75.13,44.98,42.39,-3.3,0.46,0.8,0.81,1.52,24.04,97.89,10.34,6.18,50.22,19.28,0.25,-2.3,1.47,2.23,60.22,0.19,0.61,12.26,13757,21.43,21.17,20.44,20.48,-46221,0,83.98,644.36,-0.01,0.02,89.36,0.08,-0.01,3351.45,-75091.41,0.44,-61.65
20020319,20.66,21.08,20.98,20.66,20.23,20.1,20.03,20.02,20.01,41.75,46.94,4.43,13.05,-2.61,4.43,0.37,0.31,0.06,0.86,2.03,-2.53,-2.84,1.05,1.18,0.31,0.23,-0.31,0.46,-0.07,0.93,21.26,1.7,50.14,53.19,40.08,12.44,-0.16,24.18,12.59,33.33,25,11.75,38.29,10.21,8,-4.14,1,0.83,0.83,0.6,24.02,94.73,8.05,6.47,46.78,20.87,0.24,-3.22,1.64,1.85,4.35,0.19,0.22,4.72,18326,21.2,21.26,20.45,20.46,-64547,-15393.84,83.25,887.03,-0.15,0.03,76.78,-0.01,-0.04,2759.18,-90485.25,0.91,-49.34
20020320,21.42,21.19,21.06,20.73,20.27,20.12,20.04,20.03,20.02,59.01,55.68,-14.21,3.96,-32.85,-14.21,0.39,0.33,0.06,0.86,2.06,1.35,0.55,4.55,0.43,0.8,0.45,1.22,-0.3,-0.17,0.38,21.3,-0.08,71.01,73.4,55.31,13.35,-0.03,22.7,13.37,33.33,29.17,33.83,71.57,48.39,83.15,-3.47,0.92,0.84,0.85,1.08,24.03,98.57,8.13,6.72,44.27,22.35,0.24,-2.46,1.63,1.32,45.65,0.19,0.66,2.49,22638,21.13,21.3,20.49,20.47,-41909,11319,95.09,1056.86,0.04,0.03,72.77,0.11,-0.01,3591.95,-75475.27,0.63,-34.36
20020321,21.27,21.22,21.1,20.78,20.31,20.14,20.05,20.03,20.02,55.14,53.77,-20.6,-4.23,-26.99,-20.6,0.38,0.34,0.04,0.87,2.07,0.5,-0.26,3.63,0.19,0.76,1.07,-0.45,0.08,-0.16,0.23,21.32,-0.31,60.62,69.41,54.83,14.28,0.12,21.32,14.16,33.33,29.17,31.18,74.19,62.87,68.85,-3.1,0.61,0.79,0.86,0.63,24.01,100.71,7.81,6.89,41.59,23.5,0.16,-2.84,1.6,1.02,37.5,0.19,0.53,2.49,23681,21.16,21.32,20.53,20.48,-65590,-5823.2,84.62,1113.35,0.04,0.03,70.01,-0.01,-0.04,3426.11,-66546.37,0.55,-20.67
20020322,21.81,21.41,21.23,20.88,20.36,20.17,20.07,20.05,20.03,65.04,59.26,-10.42,-6.29,-0.23,-10.42,0.41,0.35,0.06,0.87,2.1,2.38,1.87,5.78,-1.09,0.52,0.09,0.62,-1.15,-0.11,0.85,21.41,-0.15,78.52,83.78,83.78,15.23,0.27,20.66,14.96,33.33,33.33,119.32,121.67,129.46,60.53,-2.89,0.76,0.84,0.87,0.99,23.98,103.27,3.66,6.39,40.77,24.84,0.18,-2.3,1.58,0.79,66.85,0.2,0.82,18.63,57193,21.3,21.41,20.62,20.5,-8397,-22576.18,105.09,2622.33,0.08,0.01,89.27,0.14,-0.01,4878.12,-54505.74,0.45,80.89
20020325,23.27,22.03,21.6,21.11,20.45,20.22,20.09,20.07,20.05,79.63,69.82,-5.21,-5.93,0,-5.21,0.55,0.39,0.16,0.88,2.15,7.3,7.95,11.84,-2.37,-0.65,2.08,0.31,-1.85,0.13,1.46,21.56,-0.85,100,100,100,16.24,0.46,21.18,15.79,41.67,37.5,233.02,187.37,216.78,96.3,-1.96,1.08,0.9,0.92,2.25,24.03,108.99,10.6,7.04,45.85,27.46,0.25,-0.84,1.5,0.77,100,0.22,0.76,37.82,134136,21.69,21.56,20.81,20.57,125739,134136,155.64,5764.33,0.06,0.01,93.59,0.05,-0.04,13857.42,69694.26,0.92,232.22
20020326,23.27,22.45,21.9,21.31,20.54,20.27,20.12,20.09,20.07,79.63,69.82,-0.55,-4.14,4.1,-0.55,0.66,0.45,0.21,0.89,2.19,4.78,7.23,10.7,-3.88,-2.44,0.31,-1.85,-2,0.51,1.46,21.7,-1.38,92.12,95.25,95.25,17.24,0.66,21.89,16.57,41.67,37.5,198.99,181.79,217.64,50,-1.96,0.85,0.92,0.88,2.1,24.07,112.63,11.02,7.65,53.05,30.77,0.26,-0.84,1.36,0.88,92.12,0.22,0.66,41.6,73662,22.21,21.7,21.02,20.64,125739,33797.86,144.27,3165.54,0.04,0,94.81,0.14,-0.01,13857.42,69694.26,0.86,70.76
20020327,22.57,22.49,22.02,21.43,20.61,20.31,20.14,20.11,20.08,61.82,60.82,18.63,3.45,37.82,18.63,0.67,0.49,0.18,0.89,2.21,0.59,3.6,6.4,-3.38,-3.01,-2.55,-2.7,-0.76,0.65,0.84,21.79,-2.15,60.3,74.9,74.9,18.18,0.75,22.55,17.42,33.33,37.5,131.18,148.96,180.21,13.98,-2.68,1.61,1.08,0.94,1.31,24.26,105.37,3.48,7.01,57.72,33.74,0.27,-2.15,1.15,0.97,60.3,0.21,0.4,41.6,94754,22.44,21.79,21.21,20.7,30985,-59441.95,109.29,4198.23,0,0,76.38,0.02,-0.04,11007.07,1424.3,1.04,93.26
20020328,22.34,22.44,22.08,21.52,20.67,20.34,20.16,20.12,20.09,56.81,58.14,33.81,13.57,48.99,33.81,0.66,0.52,0.13,0.89,2.22,-1.38,1.97,4.58,-1.34,-3.35,-2.93,-0.99,0.93,0.74,1.22,21.91,-0.55,53.33,70.5,70.5,19.11,0.85,23.16,18.26,33.33,33.33,71.87,109.64,134.83,31.15,-3.06,0.61,1.03,0.93,1.04,24.33,105.03,2.43,6.31,59.33,36.1,0.27,-2.69,1.09,1.17,53.33,0.19,0.39,41.6,30288,22.65,21.91,21.36,20.77,697,-23336.66,96.31,1355.77,-0.1,-0.01,69.62,0.14,-0.02,10698.41,-9995.77,-0.34,-39.35
20020329,22.42,22.43,22.14,21.61,20.72,20.38,20.18,20.14,20.11,58.22,58.83,40.12,22.42,46.44,40.12,0.65,0.55,0.1,0.9,2.23,-1.55,1.73,4.15,0.75,-3.29,-0.91,1.01,0.85,0.74,1.3,22.04,-0.7,55.76,72.03,72.03,20.04,0.93,24.08,19.11,41.67,37.5,77.72,112.8,141.23,35.06,-3.36,0.77,1.01,0.93,1.1,24.36,102.8,3.18,5.82,59.02,37.94,0.28,-2.61,1.02,1.26,55.76,0.17,0.37,47.51,33218,22.77,22.04,21.53,20.82,33915,-33218,107.59,1481.62,0.05,-0.01,70.4,0.03,-0.04,10817.37,-19918.03,-0.07,-33.78
20020401,23.19,22.68,22.33,21.76,20.8,20.42,20.2,20.16,20.12,69.68,64.9,19.11,21.32,-1.9,19.11,0.69,0.58,0.12,0.9,2.25,1.9,4.36,6.88,0.87,-2.46,1.78,1.62,-0.62,0.54,1.84,22.22,0.3,79.09,86.78,86.78,20.95,1.01,25.18,19.95,50,41.67,91.93,124.07,157.6,88.5,-2.59,1,1.06,0.93,1.78,24.49,99.66,9.8,6.44,59.98,39.94,0.28,-1.84,1.05,1.33,78.1,0.17,0.73,51.55,53398,22.76,22.22,21.7,20.88,87313,28834.92,123.09,2302.63,0.02,-0.01,70.33,0.17,-0.02,12651.29,21198.43,1.52,-1.35
20020402,23.11,22.83,22.47,21.89,20.88,20.47,20.23,20.18,20.14,67.38,63.83,22.6,21.74,26.09,22.6,0.71,0.61,0.11,0.91,2.28,1.69,2.86,5.69,-0.4,-1.17,1.54,-0.7,-0.77,0.26,2.45,22.47,1.52,74.85,83.96,83.96,21.91,1.11,26.72,20.8,50,41.67,104.38,136.99,174.55,9.41,-3.4,0.85,1.03,0.94,1.55,24.57,99.31,9.42,6.9,60.74,41.81,0.29,-2.69,1.2,1.53,70.89,0.15,0.6,59.65,82950,22.73,22.47,21.87,20.95,4363,-82950,105.5,3589.36,0.06,-0.01,66.36,0.02,-0.04,12365.13,-46137.45,1.68,36.9
20020403,23.57,23.07,22.67,22.05,20.97,20.52,20.25,20.2,20.16,73.44,67.21,15.77,19.75,8.94,15.77,0.76,0.64,0.12,0.92,2.32,2.81,3.91,7.18,-1.87,-1.11,-0.24,-0.31,-1.15,0.24,2.15,22.68,1.77,88.46,92.64,92.64,22.92,1.28,28.15,21.64,50,41.67,93.29,127.38,165.25,91.3,-2.57,0.46,0.89,0.89,1.87,24.58,104.43,10.4,7.43,62.41,43.83,0.3,-2.23,1.38,1.79,83.61,0.16,0.87,59.65,38608,22.93,22.68,21.99,21.02,42971,38608,115.97,1638.01,-0.02,0.01,62.86,0.17,-0.01,13133.61,-14243.88,1.81,-37.92
20020404,23.88,23.34,22.89,22.22,21.06,20.57,20.28,20.22,20.18,76.91,69.32,15.23,18.24,14.69,15.23,0.81,0.67,0.14,0.92,2.37,2.78,4.08,7.89,-1.91,-1.3,0,-0.84,-0.69,0.29,2.61,22.94,2.38,89.67,93.21,93.21,23.94,1.46,30.04,22.48,58.33,45.83,117.78,141.46,182.1,50,-2.57,0.76,0.88,0.9,2.09,24.64,106.89,15.59,8.69,64.91,46.02,0.32,-1.85,1.62,2.07,81.64,0.17,0.74,68.07,75772,23.23,22.94,22.13,21.09,118743,0,134.61,3173.03,0.05,0.01,90.69,0.04,-0.04,14130.19,-14243.88,3.13,12.42
20020408,23.11,23.27,22.93,22.31,21.13,20.62,20.31,20.24,20.2,55.36,59.04,28.72,21.74,42.21,28.72,0.78,0.69,0.09,0.93,2.39,-1.12,0.16,3.9,-1.3,-1.28,-1.61,-1.46,0,0.3,1.3,23.07,0.45,68.75,79.46,79.46,24.95,1.6,30.88,23.35,50,41.67,71.92,106.16,140.32,0,-3.57,0.92,0.78,0.93,1.2,24.78,103.08,7.89,8.57,64.45,47.51,0.32,-2.77,1.66,2.07,42.21,0.17,0.32,48.59,33574,23.37,23.07,22.24,21.14,85169,-33574,123.98,1452.79,-0.08,0.01,89.41,0.17,-0.04,13047.61,-47817.88,0.48,-48.38
20020409,22.57,23.03,22.87,22.33,21.18,20.65,20.33,20.26,20.21,44.79,53.02,19.91,21.13,11.1,19.91,0.7,0.7,0.01,0.93,2.41,-2.92,-1.88,1.3,0.22,-1.03,-2,-0.54,1,0.24,-0.7,23,-2.16,52.12,68.53,69.82,25.96,1.74,30.4,24.22,50,41.67,11.28,67.52,98.95,7.5,-4.42,1,0.83,0.93,0.53,24.95,97.33,6.11,8.19,60.1,47.9,0.31,-3.7,1.45,1.56,15.08,0.17,0.32,23.69,29721,23.25,23,22.28,21.19,55448,-25560.06,119.32,1316.84,-0.19,0,80.06,0.04,-0.06,12353.14,-73080.73,0.26,-45.56
20020410,22.88,22.98,22.87,22.38,21.23,20.69,20.35,20.27,20.22,51.21,55.84,9.3,17.19,-1.3,9.3,0.66,0.69,-0.03,0.94,2.42,-1.39,-0.37,2.45,1.44,-1.02,-0.23,1.31,1,0.24,-0.39,22.96,-1.85,57.14,73.91,75.36,26.93,1.85,29.66,25.07,50,41.67,-16.21,56.51,86.92,82.86,-3.77,0.7,0.81,0.91,0.66,25.05,99,4.91,7.68,54.82,47.72,0.31,-3.16,1.26,0.99,30.65,0.17,0.46,17.92,19991,23.2,22.96,22.33,21.25,75439,10852.26,120.46,873.73,-0.11,-0.01,70.79,0.17,-0.02,12627.71,-59943.79,-0.65,-59.39
20020411,22.81,22.92,22.86,22.42,21.29,20.72,20.37,20.29,20.24,49.64,55.02,-3.37,10.34,-16.04,-3.37,0.62,0.67,-0.06,0.94,2.44,-1.04,-0.77,1.89,1.66,-0.27,1.24,0.93,0.3,0.06,0.24,22.99,-0.6,45.9,69.54,74.11,27.91,1.98,29.42,25.94,41.67,41.67,0.85,66.3,94.85,44.93,-3.87,0.69,0.77,0.92,0.34,24.99,96.78,-1.98,6.2,48.94,47.01,0.32,-3.77,1.2,0.61,24.48,0.17,0.4,26.91,24957,23.05,22.99,22.39,21.3,50482,-19169.87,118.33,1094.13,0.11,0,63.12,0.03,-0.06,12551.36,-62475.66,-0.81,-40.93
20020412,22.96,22.94,22.88,22.47,21.34,20.76,20.39,20.31,20.25,53.31,56.5,-14.24,2.14,-25.12,-14.24,0.58,0.66,-0.07,0.94,2.44,0.41,-0.39,2.14,0.66,0.8,1.08,0.45,-0.39,-0.18,0.62,23.05,-0.6,37.2,72.22,76.79,28.82,2.04,28.61,26.79,50,45.83,-55.54,48.82,79.52,93.55,-3,0.62,0.74,0.88,0.28,24.93,96.15,-1.33,5.04,43.5,46.01,0.32,-3.23,1.14,0.21,32.29,0.16,0.7,15.45,16909,22.87,23.05,22.48,21.32,67391,12545.39,114.19,736.45,-0.13,-0.02,50.82,0.17,-0.02,12662.55,-47748.47,-0.77,-58.67
20020415,23.27,23.05,22.95,22.55,21.4,20.8,20.41,20.33,20.27,60.45,59.51,-15.34,-3.69,-16.45,-15.34,0.58,0.64,-0.06,0.95,2.44,1.62,0.58,3.03,-0.35,1.04,0.76,-0.08,-0.39,-0.24,0.85,23.14,-0.45,50.25,78.15,82.32,29.71,2.11,28.65,27.6,58.33,45.83,68.28,87.85,106.63,57.41,-2.85,0.54,0.78,0.84,0.33,24.84,100.69,3.1,4.74,39.56,45.03,0.32,-2.92,1.1,0.12,48.44,0.15,0.73,30.88,48656,22.9,23.14,22.59,21.34,116047,-34239.41,124.7,2090.93,0.08,-0.02,42.61,0.05,-0.06,13319.5,-40540.17,-0.49,14.61
20020416,22.96,23.02,22.95,22.59,21.45,20.83,20.43,20.35,20.29,51.08,55.34,-12.14,-6.5,-8.93,-12.14,0.54,0.62,-0.08,0.95,2.44,-0.07,-0.66,1.29,-0.67,0.59,-0.39,-0.7,-0.15,-0.14,-0.23,23.11,-2.07,34.67,64.67,76.79,30.52,2.13,28.26,28.39,58.33,45.83,12.73,63.76,87.35,21.3,-3.42,0.54,0.75,0.81,-0.11,24.76,101.73,2.78,4.44,35.42,43.76,0.32,-3.46,0.89,0.22,32.29,0.14,0.39,22.6,21770,22.98,23.11,22.67,21.34,94277,-21770,129.2,948.17,-0.06,-0.02,45.83,0.17,-0.03,13029.48,-53037.76,-0.28,-44.59
20020417,23.04,23.03,22.97,22.63,21.51,20.87,20.46,20.36,20.3,53.32,56.2,6.97,-2.01,26.07,6.97,0.51,0.6,-0.09,0.95,2.43,0.14,-0.28,1.11,-0.45,0.42,-0.62,-0.07,-0.08,-0.1,-0.07,23.1,-2.52,38.69,66.85,78.21,31.28,2.18,27.9,29.1,58.33,50,14.79,62.3,84.53,7.41,-4.27,0.54,0.69,0.74,0.04,24.62,100.7,2.77,4.18,31.6,42.33,0.32,-3.38,0.64,0.28,36.46,0.11,0.51,22.6,24781,23.01,23.1,22.79,21.33,119058,-17438.48,124.77,1075.56,0,-0.02,62.97,0.05,-0.06,13115.82,-74147.5,-0.25,-25.97
20020418,23.57,23.21,23.08,22.72,21.57,20.92,20.48,20.39,20.32,65.78,61.58,9.37,1.78,11.78,9.37,0.53,0.58,-0.06,0.96,2.44,1.77,2.01,2.95,-0.39,-0.24,0.46,0.45,-0.3,0.05,0,23.1,-2.15,64.06,81.25,87.68,32.07,2.26,28.1,29.81,58.33,54.17,105.96,98.9,105.37,56.48,-4.14,0.54,0.68,0.76,0.61,24.5,103.33,1.64,3.79,29.91,41.22,0.32,-2.85,0.42,0.23,72.78,0.1,0.75,33.06,69650,23.16,23.1,22.89,21.36,188708,-30955.56,140.83,2955.03,0.04,-0.01,81.56,0.19,-0.03,14718.02,-65118.8,0.3,90.41
