,closeprice,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77
20030702,9.9,9.37,8.73,7.26,7.3,8.23,10.79,-0.04,-0.05,-0.09,-0.01,-0.01,70.6,72.42,59.98,54.54,42.55,64.42,72.88,72.88,47.77,69.13,77.3,77.3,42.84,52.65,20.42,9.39,0.66,0.57,0.39,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,74.24,105,170.59,235.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39.71,46.02,21.17,10.71,28267,1416.14,4.76,13.14,9.39,4.76,46.67,3,1
20030703,9.25,9.29,8.84,7.3,7.31,8.22,10.77,-0.04,-0.06,-0.1,-0.02,-0.01,59.13,65.19,57.11,53.02,41.89,64.56,73.51,73.51,40.55,64.83,74.76,74.76,40.55,51.07,20.08,9.27,0.68,0.6,0.4,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,33.18,71.92,141.79,199.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,19.94,33.68,16.3,8.02,21805,991.86,-6.57,4.52,8.82,-8.42,31.21,4,1
20030704,9.6,9.23,8.96,7.34,7.33,8.21,10.75,-0.01,-0.04,-0.05,-0.01,-0.01,62.75,67.05,58.21,53.72,43.85,65.33,74.58,74.58,47.78,66.87,76.73,76.73,38.15,49.57,19.72,9.14,0.66,0.61,0.41,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,31.79,50.9,125.68,180.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16.6,31.55,15.44,7.55,25750,1141.13,3.78,1.59,9.71,-5.88,34.27,5,1
20030707,9.5,9.23,9.05,7.38,7.35,8.2,10.73,0,-0.03,-0.03,-0.01,-0.01,61.03,65.99,57.78,53.49,46.45,64.65,75.32,75.32,51.67,63.28,76.79,76.79,36.6,48.48,19.53,9.1,0.6,0.6,0.41,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,75.46,62.35,128.61,188.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22.58,34.31,17,8.57,19413,1075.12,-1.04,-4.04,7.34,0,24.18,1,-1
20030708,9.7,9.25,9.13,7.42,7.37,8.19,10.72,0.03,-0.01,0.01,-0.01,0,63.27,67.09,58.4,53.89,50.69,64.57,76.44,76.44,59.17,64.42,78.67,78.67,35.87,47.75,19.48,9.15,0.61,0.61,0.42,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,82.85,72.37,129.24,192.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.34,37.48,18.82,9.77,33342,1368.36,2.11,4.86,2.65,3.19,19.75,2,1
20030709,9.85,9.33,9.22,7.47,7.39,8.19,10.7,0.06,0.02,0.07,0,0,64.94,67.91,58.86,54.19,56.16,65.53,77.96,77.96,67.08,67.46,81,81,35.22,47.11,19.44,9.18,0.57,0.61,0.42,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,82.89,79.57,127.84,193.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.34,37.48,18.82,9.77,40355,1476.81,1.55,2.6,-0.51,8.84,20.12,3,1
20030710,9.85,9.47,9.32,7.51,7.4,8.18,10.68,0.08,0.04,0.12,0.01,0,64.94,67.91,58.86,54.19,60.87,66.68,79.36,79.36,70.31,68.98,82.17,82.17,35.21,46.7,19.49,9.28,0.55,0.6,0.43,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,87.04,83.86,125.53,194.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35.16,40.15,20.33,10.77,40355,1476.81,0,3.68,6.49,15.88,26.28,4,1
20030711,9.6,9.55,9.4,7.55,7.41,8.17,10.66,0.08,0.04,0.12,0.01,0,59.37,64.92,57.76,53.6,61.9,65.52,79.72,79.72,63.94,63.19,80.44,80.44,34.07,46,19.41,9.29,0.54,0.6,0.43,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,12.69,34.14,104.84,168.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.82,34.12,18.1,9.55,37186,1396.38,-2.54,-1.03,0,9.71,19.25,5,1
20030714,9.75,9.65,9.46,7.59,7.42,8.16,10.64,0.08,0.06,0.14,0.01,0.01,61.57,65.87,58.24,53.9,61.54,63.47,80.13,80.13,60.82,59.37,80.96,80.96,33.7,45.52,19.42,9.36,0.55,0.6,0.43,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,57.43,61.15,109.62,179.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30.32,36.97,19.62,10.55,43737,1498.74,1.56,-1.02,2.63,10.17,13.37,1,-1
20030715,9.65,9.67,9.49,7.62,7.43,8.16,10.62,0.08,0.06,0.14,0.02,0.01,59.2,64.65,57.79,53.67,58.41,60.73,80.19,80.19,52.15,55.24,80.29,80.29,33.12,45.03,19.41,9.41,0.53,0.59,0.43,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.89,38.26,100.27,169.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27.89,35.74,19.17,10.3,40422,1464.74,-1.03,-2.03,-0.52,2.12,9.04,2,1
20030716,9.6,9.63,9.5,7.65,7.44,8.15,10.6,0.07,0.06,0.13,0.02,0.01,57.96,64.02,57.57,53.55,54.15,57.84,79.96,79.96,45.64,52.07,79.5,79.5,32.33,44.51,19.38,9.44,0.5,0.58,0.44,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-23.53,22.24,93.25,161.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.31,34.46,18.72,10.06,36942,1446.71,-0.52,0,-2.54,-3.03,1.59,3,1
20030717,9.25,9.63,9.46,7.68,7.45,8.15,10.58,0.03,0.04,0.07,0.01,0.01,49.84,59.75,56.02,52.74,47.04,52.79,78.59,78.59,32.82,42.7,75.86,75.86,29.15,43.34,19.13,9.34,0.47,0.58,0.44,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-159.84,-36.85,75.62,135.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.46,21.23,13.87,7.4,33930,1336.9,-3.65,-5.13,-6.09,0,-8.42,4,1
20030718,9,9.57,9.4,7.71,7.46,8.14,10.56,-0.02,0.01,-0.01,0,0,44.85,56.9,54.96,52.16,39.61,46.48,76.3,76.3,24.74,33.85,71.73,71.73,27.1,41.96,18.81,9.21,0.49,0.58,0.44,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-215.15,-86.75,59.88,111.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.68,15.78,11.77,6.23,31664,1275.65,-2.7,-6.74,-6.25,-6.25,-11.76,5,1
20030721,8.95,9.52,9.37,7.74,7.47,8.13,10.53,-0.06,-0.02,-0.08,0,0,43.88,56.34,54.74,52.05,32.75,40.79,73.93,73.93,19.04,29.42,69.2,69.2,25.26,40.65,18.52,9.09,0.5,0.55,0.44,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-131.34,-71.41,59.39,112.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.68,15.78,11.77,6.23,29722,1264.86,-0.56,-6.77,-8.21,-5.79,-5.79,1,1
20030722,8.9,9.44,9.35,7.77,7.47,8.12,10.51,-0.1,-0.05,-0.15,-0.01,-0.01,42.84,55.75,54.53,51.94,27.16,35.8,71.78,71.78,15.97,25.82,67.47,67.47,24.52,39.14,18.16,8.92,0.46,0.53,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,-123.38,-99.58,49.56,97.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.9,10.28,9.67,5.06,27683,1253.47,-0.56,-3.78,-7.77,-8.25,-5.32,2,1
20030723,8.8,9.33,9.33,7.81,7.48,8.12,10.49,-0.13,-0.09,-0.22,-0.02,-0.01,40.71,54.56,54.1,51.71,21.84,30.95,69.75,69.75,11.21,21.25,65.68,65.68,23.86,37.69,17.83,8.78,0.46,0.52,0.44,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-96.37,-91.85,47.94,96.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.9,10.28,9.67,5.06,25868,1233.08,-1.12,-2.22,-8.33,-10.66,-2.76,3,1
20030724,9.3,9.28,9.37,7.87,7.49,8.11,10.47,-0.11,-0.09,-0.19,-0.02,-0.01,53.56,59.15,55.87,52.76,23.57,31.04,69.63,69.63,27.03,31.21,69.41,69.41,22.2,36.5,17.58,8.67,0.46,0.5,0.44,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-38.3,-52.29,57.36,112.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.21,13.91,11.05,5.9,30030,1469.56,5.68,3.91,0.54,-5.58,9.41,4,1
20030725,9.3,9.25,9.4,7.93,7.5,8.11,10.45,-0.09,-0.08,-0.17,-0.02,-0.01,53.56,59.15,55.87,52.76,27.36,32.46,70.18,70.18,34.95,35.3,71.28,71.28,21.41,35.79,17.47,8.64,0.47,0.5,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,34.46,3.47,69.68,131.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.37,22.17,14.38,7.96,30030,1469.56,0,4.49,3.33,-3.12,6.29,5,1
20030728,8.95,9.17,9.41,7.98,7.51,8.1,10.43,-0.1,-0.1,-0.21,-0.03,-0.02,45.11,54.86,54.35,51.95,27.4,30.13,69.73,69.78,27.47,25.46,68.82,68.97,19.57,34.65,17.25,8.56,0.49,0.52,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-21.68,-70.17,54.18,109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.99,13.03,11,6.09,25123,1284.89,-3.76,1.7,0,-8.21,1.13,1,1
20030729,8.85,9.09,9.38,8.03,7.52,8.1,10.41,-0.12,-0.13,-0.25,-0.04,-0.02,42.96,53.68,53.92,51.73,25.02,25.89,68.47,68.82,20.26,17.42,65.96,66.89,18.49,33.41,17,8.45,0.5,0.51,0.45,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-83.61,-115.45,40.87,90.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.76,9.79,9.76,5.4,23228,1263.71,-1.12,-4.84,-0.56,-8.29,-6.35,2,-1
20030730,8.85,9.01,9.32,8.08,7.53,8.1,10.39,-0.13,-0.15,-0.28,-0.05,-0.03,42.96,53.68,53.92,51.73,22.33,21.73,67.1,67.83,16.95,13.4,64.35,65.85,17.52,32.23,16.76,8.35,0.49,0.5,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,-80.48,-104.93,38.46,87.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.76,9.79,9.76,5.4,23228,1263.71,0,-4.84,0.57,-7.81,-10.61,3,-1
20030731,8.8,8.97,9.3,8.13,7.54,8.09,10.37,-0.14,-0.17,-0.31,-0.06,-0.03,41.73,53.05,53.71,51.61,19.23,17.79,65.75,66.84,13.02,9.92,63.06,64.87,16.86,31.05,16.53,8.25,0.44,0.46,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-86.59,-102,34.54,82.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.94,8.64,9.34,5.16,21911,1256.27,-0.56,-1.68,-5.38,-4.86,-4.86,4,-1
20030801,8.9,8.96,9.27,8.18,7.56,8.09,10.35,-0.14,-0.18,-0.32,-0.06,-0.03,45.21,54.18,54.08,51.83,18.02,15.67,64.97,66.33,15.6,11.41,63.39,65.31,16.27,29.93,16.31,8.16,0.39,0.44,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-47.1,-79.37,36.31,84.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.94,8.64,9.34,5.16,23358,1272.72,1.14,0.56,-4.3,-1.11,-7.29,5,-1
20030804,8.7,8.94,9.23,8.22,7.57,8.08,10.34,-0.15,-0.2,-0.35,-0.07,-0.04,39.91,51.57,53.2,51.37,14.61,12.35,63.84,65.44,7.8,5.71,61.6,63.67,16.46,28.68,16.07,8.05,0.39,0.44,0.44,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-76.81,-88.85,29.68,76.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18.18,4.98,8.06,4.46,21921,1240.42,-2.25,-1.69,-2.79,-2.79,-8.42,1,-1
20030805,8.2,8.86,9.15,8.26,7.57,8.07,10.32,-0.2,-0.25,-0.45,-0.09,-0.05,30.11,45.77,51.08,50.24,11.04,9.18,61.16,63.04,3.9,2.85,55.8,58.22,18.52,27.55,15.72,7.88,0.41,0.44,0.45,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,-194.79,-150.43,6.05,49.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37.11,6.11,3.93,2.17,20216,1142.43,-5.75,-6.82,-7.34,-7.87,-15.46,2,-1
20030806,7.9,8.78,9.05,8.29,7.58,8.06,10.3,-0.26,-0.31,-0.57,-0.11,-0.06,25.87,42.73,49.87,49.58,8.84,7.28,57.43,59.6,4.45,3.47,49.96,52.72,21.45,26.86,15.31,7.67,0.42,0.44,0.45,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-213.54,-207.2,-19.69,22.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47.84,13.78,0.79,0.39,18537,1081.01,-3.66,-11.24,-10.73,-10.23,-19.8,3,-1
20030807,8.1,8.65,8.97,8.32,7.58,8.05,10.28,-0.28,-0.35,-0.64,-0.12,-0.07,32.87,45.28,50.67,50.02,10.13,8.49,54.62,57.01,12.69,10.92,49,51.82,24.44,26.34,14.91,7.47,0.41,0.44,0.45,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,-138.57,-189.5,-23.1,21.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,16.48,0.36,0.26,19906,1115.67,2.53,-6.9,-7.95,-12.9,-17.77,4,-1
20030808,7.95,8.52,8.88,8.35,7.59,8.04,10.26,-0.31,-0.39,-0.7,-0.14,-0.08,30.47,43.74,50.06,49.69,11.37,9.52,52.09,54.67,13.85,11.58,47.05,49.99,26.42,25.72,14.52,7.28,0.4,0.44,0.46,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-98.26,-163.15,-23.88,23.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.21,13.98,0.41,0.18,18699,1093.31,-1.85,-3.05,-10.67,-14.52,-17.19,5,-1
20030811,7.85,8.41,8.79,8.38,7.59,8.03,10.23,-0.33,-0.44,-0.77,-0.16,-0.09,28.91,42.72,49.66,49.48,12.11,9.73,49.76,52.49,13.59,10.14,45.09,48.14,28.47,25.23,14.16,7.1,0.36,0.43,0.46,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-94.9,-161.2,-34.79,14.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46.97,15.88,0.36,0.26,18063,1085.31,-1.26,-0.63,-9.77,-12.29,-19.49,1,-1
20030812,7.85,8.31,8.7,8.42,7.59,8.02,10.21,-0.34,-0.47,-0.81,-0.18,-0.1,28.91,42.72,49.66,49.48,12.72,9.69,47.88,50.73,13.94,9.61,44.12,47.22,30.32,24.76,13.82,6.93,0.33,0.42,0.46,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-71.39,-127.14,-35.15,17.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46.97,15.88,0.36,0.26,18063,1085.31,0,-3.09,-4.27,-11.3,-18.65,2,-1
